algorithm,fid,delta,magnitude,better
fixed:current-to-pbest/1,5,-0.904,large,True
fixed:current-to-pbest/1,6,-0.1072,negligible,True
fixed:current-to-pbest/1,7,0.0,negligible,False
fixed:current-to-pbest/1,8,0.1168,negligible,False
fixed:current-to-pbest/1,9,0.4464,medium,False
fixed:current-to-pbest/1,10,0.7088,large,False
fixed:current-to-pbest/1,11,0.904,large,False
fixed:current-to-pbest/1,12,-0.1808,small,True
fixed:current-to-pbest/1,13,0.7184,large,False
fixed:current-to-pbest/1,14,0.6672,large,False
fixed:current-to-pbest/1,15,-0.0592,negligible,True
fixed:current-to-pbest/1,16,-0.0336,negligible,True
fixed:current-to-pbest/1,17,0.6512,large,False
fixed:current-to-pbest/1,18,0.6736,large,False
fixed:current-to-pbest/1,19,-0.2288,small,True
fixed:current-to-pbest/1,20,0.4208,medium,False
fixed:current-to-pbest/1,21,0.232,small,False
fixed:current-to-pbest/1,22,0.504,large,False
fixed:current-to-pbest/1,23,-0.4272,medium,True
fixed:current-to-pbest/1,24,-0.232,small,True
fixed:rand/1,1,1.0,large,False
fixed:rand/1,2,1.0,large,False
fixed:rand/1,3,0.7472,large,False
fixed:rand/1,4,0.6,large,False
fixed:rand/1,5,1.0,large,False
fixed:rand/1,6,1.0,large,False
fixed:rand/1,7,1.0,large,False
fixed:rand/1,8,0.6704,large,False
fixed:rand/1,9,0.7856,large,False
fixed:rand/1,10,1.0,large,False
fixed:rand/1,11,1.0,large,False
fixed:rand/1,12,1.0,large,False
fixed:rand/1,13,1.0,large,False
fixed:rand/1,14,1.0,large,False
fixed:rand/1,15,0.472,medium,False
fixed:rand/1,16,0.2192,small,False
fixed:rand/1,17,1.0,large,False
fixed:rand/1,18,1.0,large,False
fixed:rand/1,19,0.3664,medium,False
fixed:rand/1,20,0.632,large,False
fixed:rand/1,21,-0.0464,negligible,True
fixed:rand/1,22,0.6512,large,False
fixed:rand/1,23,0.0208,negligible,False
fixed:rand/1,24,0.4112,medium,False
fixed:rand/2,1,1.0,large,False
fixed:rand/2,2,1.0,large,False
fixed:rand/2,3,0.7376,large,False
fixed:rand/2,4,0.776,large,False
fixed:rand/2,5,1.0,large,False
fixed:rand/2,6,1.0,large,False
fixed:rand/2,7,1.0,large,False
fixed:rand/2,8,0.9712,large,False
fixed:rand/2,9,1.0,large,False
fixed:rand/2,10,1.0,large,False
fixed:rand/2,11,1.0,large,False
fixed:rand/2,12,1.0,large,False
fixed:rand/2,13,1.0,large,False
fixed:rand/2,14,1.0,large,False
fixed:rand/2,15,0.6704,large,False
fixed:rand/2,16,0.3664,medium,False
fixed:rand/2,17,1.0,large,False
fixed:rand/2,18,1.0,large,False
fixed:rand/2,19,0.6448,large,False
fixed:rand/2,20,0.8144,large,False
fixed:rand/2,21,0.0656,negligible,False
fixed:rand/2,22,0.7792,large,False
fixed:rand/2,23,0.0208,negligible,False
fixed:rand/2,24,0.7344,large,False
jade,1,1.0,large,False
jade,2,1.0,large,False
jade,3,-0.3056,small,True
jade,4,-0.5744,large,True
jade,5,0.9904,large,False
jade,6,1.0,large,False
jade,7,1.0,large,False
jade,8,0.7696,large,False
jade,9,0.9424,large,False
jade,10,1.0,large,False
jade,11,1.0,large,False
jade,12,1.0,large,False
jade,13,1.0,large,False
jade,14,1.0,large,False
jade,15,0.1136,negligible,False
jade,16,-0.1296,negligible,True
jade,17,1.0,large,False
jade,18,1.0,large,False
jade,19,0.12,negligible,False
jade,20,0.3216,small,False
jade,21,0.1488,small,False
jade,22,0.6,large,False
jade,23,0.3376,medium,False
jade,24,0.36,medium,False
pm,1,-1.0,large,True
pm,2,-0.7952,large,True
pm,3,-0.0304,negligible,True
pm,4,-0.5264,large,True
pm,5,-0.7504,large,True
pm,6,-0.6736,large,True
pm,7,0.04,negligible,False
pm,8,-0.5232,large,True
pm,9,-0.1808,small,True
pm,10,-0.4944,large,True
pm,11,-0.6288,large,True
pm,12,-0.328,small,True
pm,13,-0.8944,large,True
pm,14,-0.9584,large,True
pm,15,-0.3216,small,True
pm,16,0.0336,negligible,False
pm,17,-0.8624,large,True
pm,18,-0.5264,large,True
pm,19,-0.1936,small,True
pm,20,-0.3632,medium,True
pm,21,0.0912,negligible,False
pm,22,-0.408,medium,True
pm,23,-0.0624,negligible,True
pm,24,-0.2192,small,True
success-rate,1,-0.9936,large,True
success-rate,2,-0.7984,large,True
success-rate,3,-0.1456,negligible,True
success-rate,4,-0.4496,medium,True
success-rate,5,-0.728,large,True
success-rate,6,-0.568,large,True
success-rate,7,0.04,negligible,False
success-rate,8,-0.1872,small,True
success-rate,9,-0.072,negligible,True
success-rate,10,-0.4848,large,True
success-rate,11,-0.5872,large,True
success-rate,12,-0.2352,small,True
success-rate,13,-0.5936,large,True
success-rate,14,-0.808,large,True
success-rate,15,-0.3088,small,True
success-rate,16,-0.168,small,True
success-rate,17,-0.8752,large,True
success-rate,18,-0.4272,medium,True
success-rate,19,0.0496,negligible,False
success-rate,20,-0.4656,medium,True
success-rate,21,-0.0624,negligible,True
success-rate,22,-0.12,negligible,True
success-rate,23,-0.1968,small,True
success-rate,24,-0.216,small,True
thompson,1,-1.0,large,True
thompson,2,-0.36,medium,True
thompson,3,-0.6096,large,True
thompson,4,-0.328,small,True
thompson,5,-0.9168,large,True
thompson,6,-0.8976,large,True
thompson,7,0.2,small,False
thompson,8,0.0688,negligible,False
thompson,9,0.4176,medium,False
thompson,10,-0.1104,negligible,True
thompson,11,-0.8944,large,True
thompson,12,-0.2512,small,True
thompson,13,-0.7504,large,True
thompson,14,-0.9424,large,True
thompson,15,-0.2288,small,True
thompson,16,-0.04,negligible,True
thompson,17,-0.5584,large,True
thompson,18,-0.1968,small,True
thompson,19,-0.1072,negligible,True
thompson,20,-0.2672,small,True
thompson,21,-0.2992,small,True
thompson,22,0.0944,negligible,False
thompson,23,-0.2448,small,True
thompson,24,-0.2864,small,True
ucb,1,-0.9392,large,True
ucb,2,-0.8752,large,True
ucb,3,-0.3792,medium,True
ucb,4,-0.3952,medium,True
ucb,5,-0.8848,large,True
ucb,6,-0.4816,large,True
ucb,7,0.04,negligible,False
ucb,8,-0.1008,negligible,True
ucb,9,0.0752,negligible,False
ucb,10,-0.2736,small,True
ucb,11,-0.5136,large,True
ucb,12,-0.104,negligible,True
ucb,13,-0.696,large,True
ucb,14,-0.92,large,True
ucb,15,-0.232,small,True
ucb,16,-0.0208,negligible,True
ucb,17,-0.824,large,True
ucb,18,-0.3856,medium,True
ucb,19,-0.0656,negligible,True
ucb,20,-0.1456,negligible,True
ucb,21,-0.136,negligible,True
ucb,22,-0.0144,negligible,True
ucb,23,-0.2256,small,True
ucb,24,-0.3696,medium,True
